County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage,James Jerome Bell (WI)*,Michael Bickelmeyer (WI)*,Darrell L. Castle (WI)*,Hillary Clinton (D),Richard Duncan,Cherunda Fox (WI)*,Ben Hartnell (WI)*,Tom Hoefling (WI)*,Bruce E. Jaynes (WI)*,Gary Johnson,Chris Keniston (WI)*,Barry Kirschner (WI)*,Laurence Kotlikoff (WI)*,Joseph Maldonado (WI)*,Michael Andrew Maturen (WI)*,Evan McMullin (WI)*,Monica Moorehead (WI)*,Joe Schriner (WI)*,Mike Smith (WI)*,Jill Stein (G),Josiah R. Stroh (WI)*,Douglas W. Thomson (WI)*,Donald J. Trump (R)
Adams,BRATTON TOWNSHIP,AAA,Southwest,Cincinnati,923,661,71.61%,0,0,0,96,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,532
Adams,BRUSH CREEK TOWNSHIP,AAB,Southwest,Cincinnati,768,514,66.93%,0,0,0,95,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,390
Adams,LOCUST GROVE,AAD,Southwest,Cincinnati,684,522,76.32%,0,0,0,94,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,408
Adams,GREEN TOWNSHIP,AAE,Southwest,Cincinnati,409,259,63.33%,0,0,0,76,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,176
Adams,JEFFERSON TOWNSHIP,AAG,Southwest,Cincinnati,537,351,65.36%,0,0,0,73,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,258
Adams,LIBERTY SOUTH,AAI,Southwest,Cincinnati,729,511,70.10%,0,0,0,87,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,394
Adams,MANCHESTER UNITED TOWNSHIP,AAK,Southwest,Cincinnati,"1,163",643,55.29%,0,0,0,194,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,414
Adams,MEIGS TOWNSHIP,AAN,Southwest,Cincinnati,"1,209",821,67.91%,0,0,0,131,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,653
Adams,PEEBLES EAST,AAP,Southwest,Cincinnati,550,337,61.27%,0,0,0,80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,250
Adams,PEEBLES WEST,AAQ,Southwest,Cincinnati,554,354,63.90%,0,0,0,86,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,243
Adams,MONROE TOWNSHIP,AAR,Southwest,Cincinnati,432,291,67.36%,0,0,0,71,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,206
Adams,OLIVER TOWNSHIP,AAS,Southwest,Cincinnati,643,445,69.21%,0,0,0,78,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,340
Adams,SCOTT TOWNSHIP,AAT,Southwest,Cincinnati,701,555,79.17%,0,0,0,86,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,453
Adams,SEAMAN VILLAGE,AAU,Southwest,Cincinnati,607,371,61.12%,0,0,0,66,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,291
Adams,SPRIGG TOWNSHIP,AAW,Southwest,Cincinnati,"1,111",789,71.02%,0,0,0,155,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,583
Adams,TIFFIN EAST,AAY,Southwest,Cincinnati,725,545,75.17%,0,0,0,111,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,399
Adams,TIFFIN WEST,AAZ,Southwest,Cincinnati,720,515,71.53%,0,0,0,106,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,386
Adams,WEST UNION A,ABA,Southwest,Cincinnati,879,567,64.51%,0,0,0,164,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,350
Adams,WEST UNION B,ABC,Southwest,Cincinnati,873,528,60.48%,0,0,0,150,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,344
Adams,WAYNE TOWNSHIP,ABE,Southwest,Cincinnati,830,591,71.20%,0,0,0,75,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,490
Adams,WINCHESTER TOWNSHIP,ABG,Southwest,Cincinnati,758,591,77.97%,0,0,0,99,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,464
Adams,WINCHESTER VILLAGE,ABH,Southwest,Cincinnati,635,434,68.35%,0,0,0,72,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,345
Adams,LIBERTY NORTH,ABI,Southwest,Cincinnati,505,388,76.83%,0,0,0,81,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,290
Allen,DELPHOS 1A,AAA,West,Lima,757,540,71.33%,0,0,0,124,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,385
Allen,DELPHOS 1B,AAC,West,Lima,593,478,80.61%,0,0,0,105,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,351
Allen,DELPHOS 2A,AAE,West,Lima,803,512,63.76%,0,0,0,119,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,350
Allen,DELPHOS 2B,AAG,West,Lima,415,226,54.46%,0,0,0,38,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,167
Allen,LIMA 1A,AAH,West,Lima,990,601,60.71%,0,0,0,260,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,294
Allen,LIMA 1B,AAJ,West,Lima,965,568,58.86%,0,0,0,199,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,328
Allen,LIMA 1C,AAK,West,Lima,927,447,48.22%,0,0,0,202,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,204
Allen,LIMA 2A,AAO,West,Lima,"1,103",649,58.84%,0,0,0,265,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,333
Allen,LIMA 2B,AAP,West,Lima,"1,051",704,66.98%,0,0,0,267,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,393
Allen,LIMA 2C,AAQ,West,Lima,"1,048",672,64.12%,0,0,0,247,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,385
Allen,LIMA 3A,AAW,West,Lima,"1,006",469,46.62%,0,0,0,269,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,163
Allen,LIMA 3B,AAX,West,Lima,"1,002",332,33.13%,0,0,0,199,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,111
