global_id,PRECINCT_shp,COUNTYGEOID10,COUNTYNAME10,PRECINCT_election_results,PRECINCTCODE_election_results,PRECINCT_misfit
6875,Bratton Township,39001,Adams,BRATTON TOWNSHIP,AAA,
6876,Brush Creek Township,39001,Adams,BRUSH CREEK TOWNSHIP,AAB,
6877,Green Township,39001,Adams,GREEN TOWNSHIP,AAE,
6878,Jefferson Township,39001,Adams,JEFFERSON TOWNSHIP,AAG,
6879,Liberty Township,39001,Adams,,,"LIBERTY NORTH, ABI, LIBERTY SOUTH, AAI"
6880,Locust Grove,39001,Adams,LOCUST GROVE,AAD,
6881,Manchester United Township,39001,Adams,MANCHESTER UNITED TOWNSHIP,AAK,
6882,Meigs Township,39001,Adams,MEIGS TOWNSHIP,AAN,
6883,Monroe Township,39001,Adams,MONROE TOWNSHIP,AAR,
6884,Oliver Township,39001,Adams,OLIVER TOWNSHIP,AAS,
6885,Peebles Village,39001,Adams,,,"PEEBLES EAST, AAP, PEEBLES WEST, AAQ"
6886,Scott Township,39001,Adams,SCOTT TOWNSHIP,AAT,
6887,Seaman Village,39001,Adams,SEAMAN VILLAGE,AAU,
6888,Sprigg Township,39001,Adams,SPRIGG TOWNSHIP,AAW,
6889,Tiffin East,39001,Adams,TIFFIN EAST,AAY,
6890,Tiffin West,39001,Adams,TIFFIN WEST,AAZ,
6891,Wayne Township,39001,Adams,WAYNE TOWNSHIP,ABE,
6892,West Union A,39001,Adams,WEST UNION A,ABA,
6893,West Union B,39001,Adams,WEST UNION B,ABC,
6894,Winchester Township,39001,Adams,WINCHESTER TOWNSHIP,ABG,
6895,Winchester Village,39001,Adams,WINCHESTER VILLAGE,ABH,
3869,Delphos 2B,39003,Allen,DELPHOS 2B,AAG,
3870,Delphos 2A,39003,Allen,DELPHOS 2A,AAE,
3871,Delphos 1A,39003,Allen,DELPHOS 1A,AAA,
3872,Delphos 1B,39003,Allen,DELPHOS 1B,AAC,
3873,Lima 1A,39003,Allen,LIMA 1A,AAH,
3874,Lima 1B,39003,Allen,LIMA 1B,AAJ,
3875,Lima 1C,39003,Allen,LIMA 1C,AAK,
3876,Lima 2A,39003,Allen,LIMA 2A,AAO,
3877,Lima 2B,39003,Allen,LIMA 2B,AAP,
3878,Lima 2C,39003,Allen,LIMA 2C,AAQ,
3879,Lima 3A,39003,Allen,LIMA 3A,AAW,
3880,Lima 3B,39003,Allen,LIMA 3B,AAX,
3881,Lima 3C,39003,Allen,LIMA 3C,AAY,
3882,Lima 4A,39003,Allen,LIMA 4A,ABE,
3883,Lima 4B,39003,Allen,LIMA 4B,ABF,
3884,Lima 4C,39003,Allen,LIMA 4C,ABH,
3885,Lima 4D,39003,Allen,LIMA 4D,ABI,
3886,Lima 5A,39003,Allen,LIMA 5A,ABP,
3887,Lima 5B,39003,Allen,LIMA 5B,ABQ,
